,latitude,longitude
132,41.238024,-73.931274
133,40.868823,-73.903038
134,40.685200,-74.547500
135,40.736180,-73.976485
136,40.899448,-73.306281
137,40.692572,-73.767919
138,40.723691,-73.244607
139,41.4143830,-73.6703580
140,40.697340,-73.985422
141,40.726055,-73.552866
142,41.980639,-73.660120
143,40.658868,-74.198152
144,41.3953730,-74.3396950
145,40.895801,-74.052171
146,40.238932,-74.698326
147,40.807257,-73.943881
148,40.073220,-74.127817
149,40.719599,-74.043706
150,41.660307,-74.695264
151,40.831329,-74.507311
152,41.157550,-73.984770
153,40.7682600,-72.9970840
154,40.897590,-74.158982
155,40.552812,-74.476689
156,41.376689,-74.690921
157,41.679451,-73.855612
158,40.914447,-72.663748
159,40.6273260,-74.1946700
160,40.743780,-73.917733
161,40.3097,-74.0391
162,40.664497,-73.708467
163,41.032354,-73.762413
164,40.9329167,-73.8968983
165,40.695831,-73.325217
166,40.793702,-74.197826
167,40.862745,-73.899831
168,40.697399,-73.986502
169,40.802790,-73.936262
170,41.380946,-74.541534
171,40.706008,-74.012901
172,41.439747,-74.367190
173,40.745097,-73.499504
174,40.685840,-73.864946
175,40.787274,-74.074706
176,40.645778,-74.078127
177,40.255105,-74.792122
178,41.034185,-73.767799
179,40.446498,-79.960084
180,40.488617,-78.398365
181,39.999179,-75.799311
182,42.102947,-80.064313
183,40.317228,-76.397333
184,39.949615,-75.201460
185,40.873800,-79.945000
186,40.497056,-79.890947
187,40.446498,-79.960084
188,41.248057,-75.840151
189,39.738676,-75.607143
190,39.9413989,-75.1189349
191,39.954892,-75.146439
192,40.580550,-75.520375
193,40.814398,-79.545353
194,41.888349,-80.804704
195,39.368749,-74.560425
196,40.679734,-80.310608
197,40.076758,-80.917392
198,40.240801,-76.934558
199,38.946865,-74.888395
200,41.132265,-79.402864
201,41.054044,-76.238091
202,40.683181,-80.111677
203,41.621174,-80.210371
204,39.446888,-75.048812
205,41.124889,-78.728041
206,39.925733,-79.727531
207,40.010516,-74.617998
208,40.391326,-77.913291
209,40.616429,-79.173399
210,40.305855,-78.826938
211,39.138750,-75.526604
212,40.052384,-76.251581
213,40.983681,-80.309088
214,41.956723,-78.647456
215,41.237267,-80.463300
216,40.873904,-75.228463
217,40.695591,-76.185200
218,40.778410,-76.227053
219,40.338106,-75.925793
220,39.304835,-80.354589
221,41.987700,-76.546100
222,40.187680,-75.564407
223,39.922359,-75.348471
224,40.825437,-77.807292
225,38.6799101,-75.3960617
226,41.204350,-75.436966
227,39.4882130,-74.9935850
228,41.400726,-79.811393
229,39.778578,-75.102551
230,40.202654,-75.176002
231,41.905867,-79.151140
232,40.157630,-80.276449
233,41.575349,-75.268256
234,40.297829,-79.508686
235,41.259839,-76.981577
236,39.972438,-76.682805
237,40.094905,-74.859182
238,41.125600,-78.754600
239,42.124551,-80.082543
