cartodb_id,the_geom,state_name,state_fips,name,county_st,n_va
83,0106000020E61000000100000001030000000100000024000000D2EE5D9DF91F63C0651D5606FF294F40C3E733C6A91F63C0CD6F8123DF5F4F4005959AD897FC62C05727228F635E4F40E32D1B9967FC62C002DE6D566F674F400F44334648B162C0FA7CA37558A94F40938E6319B68162C011B437E3DAA84F40A07499CAB38162C0B6A71D9253BA4F409D9EFF627E7662C0144B7EA751BA4F403E3AE7E73C5062C09EE88F465FBB4F405C09FB27E84F62C0B901B371B3834F40477DBC96244E62C074D03973B8434F409A1D6D64BA4D62C08711B3C2AF1E4F40747166C8845F62C02D085A350F1F4F4007BA5830AF5F62C0168C71B274BC4E407A099A5CB88E62C0B886F7FFA6B64E407E3B37E3959162C0AC301535AFB64E4038DF57043C9262C0D95BDD92B1B64E40D0B47886839362C01DED6E0EA4B64E40BB384886C19462C0C96032EDA8B64E405A614F81D4A762C0589EAD7FFFBE4E4046495861D2A762C03F05DF5F01BF4E400E17C4BE58B662C003B71AB85FBC4E40934F9AEB3ABC62C03CBD1778E3B04E4040886EFBEFBF62C098C37349AF9E4E40FC330EFF08D062C0292899F348A04E40908F754254D262C038B0754BA6AE4E4044277540E1D262C0D9325E8056A44E4066884F417DDE62C06F506B86AA9A4E40B0049A0219DF62C014DB6940E3984E40CBB2F0FE1FDF62C091719E4672A04E400CAB4CF8CAE962C0F0A317E687A04E406826BB03B1EA62C0CFF426CA59AB4E409FBA9D91B1EA62C0C0CEE45159B64E4030A082FE60F562C01C7406D585B64E409D5864DF112063C06BEF2AF87CB64E40D2EE5D9DF91F63C0651D5606FF294F40,Alaska,02,Matanuska-Susitna,"Matanuska-Susitna Borough, AK",10958
88,,,,,"Prince of Wales-Hyder, AK",528
90,0106000020E6100000030000000103000000010000001F0000004C14E6FA0E0161C0AC51FF29E5EB4C40529F91C668FC60C05DFDE3606CFE4C40E8794A9493EB60C0E3F006FAFFE54C40D11D7C0F2CEA60C0E5B51C8098E04C4088D813977AEB60C0B6507C732FDC4C4091168D8958DD60C089FAE2EC61E04C403A6CD2B607DA60C0FAAAAFB892BD4C40E61A9CBDAEDF60C0815B8B57A0B94C4070F59797CAF960C03360C01DA9E14C40B0B8DF448EF660C0741515753FD64C4008B9E412C6F960C050802099D6D14C40A20CB5B350F260C01AD28DC34BCB4C40F825FF3812F560C0F3574A3588C64C40B279702ED8F160C095BCC4C2EEC44C40D36FC7648FF160C0C5B98F46C3BA4C400CE47B2713F660C086C256A763AE4C4098B7C7EBEFFA60C0AA1E89ECA8B14C40F234E247650061C0C287D9267BC14C40A6B468F9FFF860C05AC3344BBDB74C4080FC86222A0261C03AAF3EE437CC4C4010ABB3DF82FE60C0D2B3C1D6D9CE4C409767C76BDA0361C0CC180C97F4CE4C40F2DB52B5E40261C068E228D158D74C4040A059FD580761C0DFDC093753E44C4093541756520D61C01BB68DA104E94C40EF2311361B0D61C0FFE8833DAFEA4C400013B669160A61C0FE682918D8EA4C400428F7FA0F0161C05BF1D609E5EB4C404065E33A0F0161C0782C00CAE3EB4C40F827EDBA0B0161C0EE3092AADCEB4C404C14E6FA0E0161C0AC51FF29E5EB4C40010300000001000000280000005A599FF4F8D460C043C0371BD2144C40C4A929C08CE160C070C54D9293434C40B41B9E662FDB60C0CE537630B3574C407E8ACA2BF4DE60C0EC089A80E94F4C40333AEA2D0CDE60C05B9C3AFFD35A4C40D3F230356FDF60C04779777FB75B4C4098767BB2BEE360C0E4F3FD2F924C4C408AC9C7EFF9E360C086442D6708554C4087A612BBCEDF60C0674EF147C4604C40C98FCE3215E660C0DCE5E48159564C40A1882373E5E360C0601B4FB0DE694C4054F3E5B18BE860C0786EF8B737644C40B5D28D3EDCEB60C0B1FC1342956A4C40289A9B7548E960C0597861CE1E724C409A4859FA4CEB60C04BAAA04C9D7B4C40888D02B151E560C0871305E365844C404EE59B73BCEB60C08DE295A63A8A4C4062E6066FCCEB60C076D76BAF9F914C408FC979A982E860C01EC85443EE944C40A530ED730DED60C0ADF53C391E934C407C522A6ADDEA60C07DD068A6BD9F4C4082FB787F16F160C0EC8EDFA25B9D4C408F0832E193F560C0081121A84AAC4C4053B43C4C14EF60C0D713958DDCAC4C406FE029E07CF360C0CB8655851FB24C40212B913FDBF060C0B46712ACBEB74C407133DEE882F060C022230604E1C04C407E75ECE010EA60C0DD2CE85B26C44C40EAE1131E09E960C022AED5DB73C04C40552C6756C9EC60C0963B77CF21B84C4031A184185DE560C08857A07237BD4C401EE7DA4E77E660C08AC784A651B64C407E7170B620E060C0D0FEB9D31EB34C40E4F0592A0BDD60C0A6BF9F2829AA4C40E598596F07E060C0746BA88ED4AB4C402A804CEB54DE60C04C7E4EDB05A94C4058F2AFAA85DF60C048E6CD0BAEA54C4050226622C2DA60C08E6071F5B49F4C402F34D3D6C7D360C0892118A2415C4C405A599FF4F8D460C043C0371BD2144C400103000000010000000B000000D8070B5F77F660C00966DBCE85A84C4002467601D8F160C069095063499D4C408B57ED060CF460C0A1FD85659B9D4C4084912C4888F160C04B93888785904C40E57F3FA930F460C02746EAC485804C40223268BCDDFA60C0B8E17B776C7E4C40887B781C6EFA60C0839641AD9E8A4C40DE6AC3D6BDF660C053D7A43D9C944C405D9C290E3CFA60C0F5DFDD3811964C40C5BE22DC28FB60C05776C55A7CA84C40D8070B5F77F660C00966DBCE85A84C40,Alaska,02,Sitka,"Sitka City and Borough, AK",780
100,0106000020E6100000010000000103000000010000002D000000C80276C4FC5F5BC0807F4F37A7D3404030962D0606625BC08CE3DA3942D040404BF6A9CA32655BC076246DB9FECF404070A4100C89665BC0615FD9F9EECE40407E86EFCBCA675BC0FA60E11B9ACB40400240B72FED6A5BC0BA368FFB66CA4040DE39852D6C6A5BC0F449845D14C840409AE8448FEA6C5BC0CA749A7DC7C54040EF03F3CF306F5BC007879A1E33C24040DE8146CEE96F5BC015F1028194BE40403645670E1B715BC02209F32184BD4040E83007B15D735BC030CE5660B5BE4040257AB3B534745BC0DF26E01C58C4404013964477B0755BC030BF879CF6C440401EDA4558A9755BC0B431E57B4DC64040485E129E23795BC009EE6B7A53CA4040823A495241795BC08364E48BC0E44040EBE70F10EC765BC03CB19D4AF6E4404064AE4D0C17775BC055DDD8744F1041401D621F6B6A765BC041E664F551104140912B2B861F765BC0851E4F9D783C4140B1AD8B05B2755BC03EF559FD973C41405111D9160C765BC08F9B793979694140C9D085F69D755BC0A86010BA7A6941407EA3DEF981755BC0D2607D8EA46F414005BA481C80755BC0997F386A4EC44140F8EC281BF5745BC0FE8CA26B41C441401A987A16C4745BC0F6BA3E9A61D641407580E7AC877F5BC0094502CA81D64140A924DF1AD07F5BC03AFBC211FC7E424081244D4C1A435BC056D6EBED917F4240C8FEB9EA0F435BC06E524CAF92FF41400735B529FC425BC09B47F5D8317A4140037B80201D435BC054585477BF4B4140AE980CEC38435BC03F19D43C43E44040158974D311565BC0A2706FF19AE44040E48BA4F342575BC0D0B72EF40EE04040804F2B12DE565BC013609476CADD40406958521729595BC03DB8DE5543DC404015A191B755595BC02870369654DB4040E30B6D7E205C5BC007CA85B3B7DB404071BA07A17F5D5BC0C8485274ABD940405CAB03834F5E5BC02CD2AFF38BD94040005204A2945E5BC0D287D95669D54040C80276C4FC5F5BC0807F4F37A7D34040,Arizona,04,Apache,"Apache, AZ",4558
101,0106000020E6100000010000000103000000010000000D000000CE234F5BEB425BC03251FB89EC573F40C6ED600BF79C5BC0B95766E670563F402F1AA802559D5BC05D3C0B1718A83F407C07A442D19C5BC0E08948B778A83F400A689F1AF19C5BC0F6473E0D70BC3F405B19377A069D5BC07ADFF61AD30940401B46AA59939C5BC0368A1DFBD5094040DE45473C1B9D5BC0291E109AD8384040127E7256E2965BC0D130F81C0039404088148235C6965BC0D4CC489D4D384040246820F2FF475BC0F82ED1019338404065E15FEE2A435BC02C0ED5E994384040CE234F5BEB425BC03251FB89EC573F40,Arizona,04,Cochise,"Cochise, AZ",23258
106,0106000020E610000001000000010300000001000000450000000E4463000B555CC076EDE1C282B04040174E6CB7657D5CC01CA94FFB3BB04040A82C989C777D5CC0CB59462F98BF4040CCD74CE56E915CC016AED0AE24C040403CFD153753915CC0503A09AFB98340408D49B4F651A15CC05811C3EA8B8340401C74781DC8A35CC01B18A549B5844040919CD60509A75CC0281870CC74834040648B04EA92A85CC01027D6EB4B84404069FF284C4AA95CC07D4A9749AF854040DC692A2F7EAA5CC00180366BFB8440404F5D9CD786AD5CC0AA45B780358C4040F8679BD767AD5CC0D9DE90FBA98F4040AFF4105366AB5CC05466447268954040656B13F485AB5CC0881AFD86BF9C404038E5547503AC5CC051380104A09E404042F902545FAB5CC0D98D915D4EA2404069CD6B3C11AF5CC0883A177421A7404009FC27D807AD5CC07E47DE081CAD40401CA4195B65AE5CC0D45F499A9DB4404059B60A3149A95CC012895798A5B540407C53724F5BA85CC0CA24AF133FB84040412885EEBFA75CC0834E9F0CFBBB40402098040C47A65CC0AFB0946839BE40403C2D2C6B92A55CC070A2358335C14040F87A9C06E2A15CC099F4BD78B0C740400858016993A25CC0F1FF12144ECA4040A02C6829BDA15CC04454452BA2CF404083B442EB9DA15CC0910040422FD5404026475DED54A25CC0F8FD12DE63D74040104BC029B99F5CC05FEE44D9ABDA4040F491058DA8A05CC08EF6703121DF4040A22EFEAC4AA05CC0C32B148DC7E240400D8EE0105AA15CC05965C464BBE940400688F20FC0A05CC0E73F9782C5EB40404F83B17157A15CC0398B435F74EE40405AA03A50E29F5CC0B52BBA9667F64040A00101F5A3A15CC068D4DCB1E8F94040F0B54A542AA15CC05977E82F87FB40409222D669749B5CC007DD7AEDD1034140024E564B239B5CC00100D5C8060A41401B737C2A409A5CC0954A22C7230D41403E14F8BEA8945CC081C36007161241406BC75F7A43925CC095A631E5EA154140BC0A61F3168F5CC08C69C725D6174140F1C6082A98895CC0FD11215E2C22414083CFBAC603885CC0766D783EE52241405B94A28995885CC06C21041B43284140185D1D8DD1895CC098203FB8102B41408F871D3E79835CC0D1292FBEC926414082E7D339F3815CC0361FED60C62341408D4E8FB688805CC0BD4DE721F722414016E50934B27F5CC068E3A8042F204140A0A919C5E6765CC007BA79144A204140DDFD7061F8745CC039A0523D9B1C4140A7F28E5D7A725CC08E9675BEE81E4140BB32C7595C705CC094155483621E414049C59A16D36E5CC0DB5D2443621F4140F9CFC392476D5CC010ACAAE8981C41409255D74B5F6A5CC012A97A6E9E1A4140FBE882E227665CC00FED0A4DB11D414055299A1D58635CC04ECE97A60425414096E36E191F615CC07CED782538284140BDCD544B3D5B5CC00C629FCAEC264140E1F59C410B575CC0C27208ED3D274140CFCAE25EC6555CC0C35964ADBE27414011963D1DED545CC0D9D9D76C43294140BA6B0C1835555CC00057D846870141400E4463000B555CC076EDE1C282B04040,Arizona,04,La Paz,"La Paz, AZ",2794
107,0106000020E6100000010000000103000000010000002B000000C718FDE8B7C25BC0E8D5B393EBBC4040B6AC5B1063E55BC0475ECC05FBBC404037705C3E02E55BC0F6C72086359B4040B5922A3C2C055CC0A5C37498F59A40407195499D46055CC04A2536D7A49C4040B05C7F4443085CC0BD0DB291769E4040E9597166B9085CC0F46FBB4F7AA040400B91EB2B190B5CC04BC62C2B74A140402EC67EB34E0D5CC0D811303F17A8404094735266350D5CC052AE2FEF86424040B46B70C546485CC0C7B88D8E72414040995C0F664B485CC0E51E008E25424040F1981BB61E555CC0936D67436A4240400E4463000B555CC076EDE1C282B04040BA6B0C1835555CC00057D8468701414072A08904F82E5CC01AED39171B014140E25342266D125CC0C8D731000FF34040F9AAAA7F3D0F5CC00A0E79809DF64040B3FC05424B0F5CC0AB1D2ABDEBFA4040D61141BDB30C5CC0C7EEE25D35FE40407DC27C1D6C0C5CC034257C3C250041400761DA18910A5CC0CE94847B19034140B125E076BE095CC0B9A856B949064140EF2C5DDDCFEE5BC006EFF1A0C9004140BB2AF1F761DF5BC0E57472C9E60041400D0F2ED460DC5BC08A42566B9C01414025CCAE112FDB5BC0041D020F17004140ED6F0633C6DC5BC0DF289A5076FD40400BBF61B04ADC5BC0D03BF4978BF740404BC0BC4FF6DB5BC081A3E458DCF64040B0DB4EEEBBDA5BC0A2B25659ABF7404053A4360CC0D95BC01B42D8DCE7F54040204CCAEA9FD95BC08D1157215CF24040992586E77DD85BC0C3B71308C0ED4040326F3BC579D75BC0C0F8A08B1AEC4040B8A130C2EBD75BC08639DAF7C7E140403951A69DD1D55BC06E6CD49E5FDE40408630289B38D55BC0466ECF43DBD94040B3C6CA696CCE5BC0126E6E37F2CE40403AEAB04701CD5BC09ADE73F47BD34040A6D51960BDC95BC0CDCAF85264D74040D126545E18C95BC064744394C6D64040C718FDE8B7C25BC0E8D5B393EBBC4040,Arizona,04,Maricopa,"Maricopa, AZ",266576
112,0106000020E6100000010000000103000000010000000C000000C6ED600BF79C5BC0B95766E670563F40AD1402129BC45BC041AB361CEC553F40D561E43AA6D75BC024D91FDC786E3F4022B1F45CA2D75BC06C8E4BCE88883F4080A856800ECA5BC07F312C9E0C893F409FDB9F8303CA5BC013E2701A4ABB3F4002791F032AB65BC02B3527B889BB3F40F5830EE32CB65BC04C1C64D485BD3F400A689F1AF19C5BC0F6473E0D70BC3F407C07A442D19C5BC0E08948B778A83F402F1AA802559D5BC05D3C0B1718A83F40C6ED600BF79C5BC0B95766E670563F40,Arizona,04,Santa Cruz,"Santa Cruz, AZ",2108
119,0106000020E6100000010000000103000000010000000B000000C0D7640EDF3B57C058DFEB07000F42403050D715A85257C0D224768D00104240A771095D075357C0827CCAA1CE3E4240E4CD73AF8B3657C046F23D89B43E4240B9C91D4FAC3657C07533C64C333C4240765309122C3857C021B3052BAF3D4240834191F0263857C04150A992E0374240E5BB1AF1F83857C0A0725F56463542404BEAECCF5B3857C041FC171808344240420962E8723857C037971006410F4240C0D7640EDF3B57C058DFEB07000F4240,Arkansas,05,Boone,"Boone, AR",3551
129,0106000020E6100000010000000103000000010000001D000000F610CF96934257C034B4893E328A414055743074634157C0205D429BB88B4140364FAD537B4157C098529D57378E4140E9DB5DCE9D3E57C045BEF013DA8E4140F87BF5A7BC3B57C0F6B3A2074D954140543B9641323857C0DA24C8A26F9641401B2E16DF8F3657C0F4FB5D02D5954140D07A563DE13557C060480FFFF2BB4140BA0074956E1E57C049F13F300DBB414051A9F3148A1E57C0056445FAE2AF4140265D9EF4C11E57C05C2125E4D4A44140E859B697C52057C06035AC66E4A04140B4BD5CF7712057C0326813C9EE9E41402328C699B62157C05AF002AF9C9B4140388931792F2157C03CAABD306B9A414070284EBAC72157C0AA9D721284994140EEC7493AAE2157C08C387F3420984140EC30D0B7112057C05FB11DF9F394414007FF2258372057C0FAE4245C42934140AE7254FB972157C0300307453F8E41406E0BD93D022357C0E8682944D08E4140369FA21E6D2357C07CCEA225188E4140A88F4B21E62457C0CAEA4586F58D414060512408602857C027294AAEB4894140E087E5AADA2957C0497683EEEA894140B49F5EEACF2957C0EE7771091E8D414060796D720A2E57C02687B40E908A4140022480D2042E57C068F06B7084894140F610CF96934257C034B4893E328A4140,Arkansas,05,Conway,"Conway, AR",1787
